Timestamp,IP,Country,AbuseScore,Risk,TTP,Summary
Tue  3 Mar 2026 14:07:09 GMT,192.168.1.50,XX,0,Low,AT002 - Unintended Out-of-Band Communication,"Failed login attempt from 192.168.1.50, likely due to a misconfigured password for the root user."
Tue  3 Mar 2026 14:07:14 GMT,192.168.1.50,XX,0,High,ATAcc-001,"Unauthorized SSH login attempt from a known IP, indicating potential insider threat or lateral movement within the network."
Tue  3 Mar 2026 14:07:18 GMT,185.123.45.67,XX,0,High,ATACC-0001,"Attempted to inject malicious SQL code into a web application, compromising data integrity and potentially leading to unauthorized access."
Tue  3 Mar 2026 14:07:23 GMT,185.123.45.67,XX,0,High,AT1514.001 - SQL injection attempts are typically conducted by threat actors to gain unauthorized access to databases and exfiltrate sensitive data.,"An IP address with a low Abuse Score attempted a SQL injection attack, indicating potential malicious activity."
Tue  3 Mar 2026 14:07:26 GMT,185.123.45.67,XX,0,High,AT265,"Repeated failed root logins from an unknown ISP and country indicate potential threat actor activity."
Tue  3 Mar 2026 14:07:30 GMT,185.123.45.67,XX,0,High,ATACC-0013,"Unauthorized login attempt from unknown user 'admin' to remote server via SSH, indicating potential malicious activity."
Tue  3 Mar 2026 14:07:34 GMT,185.123.45.67,XX,0,High,AT acc-0001,"Unauthorized SSH login attempt from a suspicious IP address with no known affiliation."
Tue  3 Mar 2026 14:13:34 GMT,185.123.45.67,XX,0,High,AT382,"Potential SQL injection attempt from a suspicious IP address with no known abuse history."
Tue  3 Mar 2026 14:17:17 GMT,192.168.1.50,XX,0,High,T1190,"Brute Force attempt on root account from a known IP address with low abuse score, indicating potential insider threat or reconnaissance activity."
Tue  3 Mar 2026 14:17:20 GMT,192.168.1.50,XX,0,High,T1210,"Brute Force attempt against a non-existent user on SSH, indicating potential lateral movement or reconnaissance activity."
Tue  3 Mar 2026 14:17:25 GMT,185.123.45.67,XX,0,High,T1210,"Potential SQL injection attempt from IP 185.123.45.67, indicating a high risk of malicious activity."
Tue  3 Mar 2026 14:17:28 GMT,185.123.45.67,XX,0,High,T1210,"Potential SQL injection attempt from IP 185.123.45.67, indicating a high risk of malicious activity."
Tue  3 Mar 2026 14:17:31 GMT,185.123.45.67,XX,0,High,T1210,"Multiple failed root logins indicate a high-risk attempt to gain unauthorized access, suggesting a sophisticated attacker attempting to brute-force credentials."
Tue  3 Mar 2026 14:17:35 GMT,185.123.45.67,XX,0,High,T1210,"Brute Force attempt against a non-existent user on SSH, indicating potential reconnaissance or initial access attempts."
Tue  3 Mar 2026 14:17:37 GMT,185.123.45.67,XX,0,High,T1210,"Brute Force attempt against the server, indicating potential unauthorized access attempts."
Tue  3 Mar 2026 14:17:41 GMT,185.123.45.67,XX,0,High,T1210,"Potential SQL injection attempt from IP 185.123.45.67, indicating a high risk of malicious activity."
Tue  3 Mar 2026 14:24:04 GMT,192.168.1.50,XX,0,High,T1110,"Failed password attempt from 192.168.1.50, indicating potential unauthorized access to the system."
Tue  3 Mar 2026 14:24:09 GMT,192.168.1.50,XX,0,High,T1110,"Unauthorized access attempt via SSH, IP 192.168.1.50 is from an unknown source with a low abuse score."
Tue  3 Mar 2026 14:24:13 GMT,185.123.45.67,UA,0,High,T1110,"Failed password attempt from 185.123.45.67, indicating potential TTP (Tactic, Technique, Procedure) exploitation."
Tue  3 Mar 2026 14:24:16 GMT,185.123.45.67,UA,0,High,T1110,"Failed password attempt from 185.123.45.67, indicating potential TTP (Tactic, Technique, Procedure) exploitation."
Tue  3 Mar 2026 14:24:20 GMT,185.123.45.67,UA,0,High,T1110,"Multiple failed root logins from 185.123.45.67 indicate a potential insider threat or malicious activity, warranting further investigation and potential escalation to incident response team."
Tue  3 Mar 2026 14:24:24 GMT,185.123.45.67,UA,0,High,T1110,"Unauthorized access attempt from a known IP address with low abuse score, indicating potential insider threat."
Tue  3 Mar 2026 14:24:27 GMT,185.123.45.67,UA,0,High,T1110,"Failed password attempt from IP 185.123.45.67, indicating potential TTPs for privilege escalation."
Tue  3 Mar 2026 14:24:31 GMT,185.123.45.67,UA,0,High,T1110,"Failed password attempt from 185.123.45.67, indicating potential TTP (Tactic, Technique, Procedure) exploitation."
Tue  3 Mar 2026 14:26:46 GMT,185.123.45.67,UA,0,High,T1110,"Failed password attempt from IP 185.123.45.67, indicating potential unauthorized access."
Tue  3 Mar 2026 14:26:49 GMT,185.123.45.67,XX,0,High,T1210,"Brute Force attempt against the root user, indicating potential unauthorized access attempts."
Tue  3 Mar 2026 14:26:52 GMT,185.123.45.67,XX,0,High,AT0001,"Unauthenticated brute-force attempt from a known high-risk IP address."
Tue  3 Mar 2026 14:27:14 GMT,185.123.45.67,UA,0,High,T1190,"SQL injection attempt detected from IP 185.123.45.67, indicating a potential web exploit."
Tue  3 Mar 2026 14:27:18 GMT,185.123.45.67,UA,0,High,T1190,"SQL injection attempt detected from IP 185.123.45.67, indicating a potential web exploit."
Tue  3 Mar 2026 14:27:23 GMT,185.123.45.67,UA,0,High,T1110,"Multiple failed root logins from IP 185.123.45.67 indicate a brute force attack, which is a common technique used in T1110."
Tue  3 Mar 2026 14:27:27 GMT,185.123.45.67,UA,0,Medium,T1110,"Failed password for invalid user from 185.123.45.67 port 1234 sshd, no SQL keywords present."
Tue  3 Mar 2026 14:27:32 GMT,185.123.45.67,UA,0,Medium,T1110,"Failed password for root from 185.123.45.67 indicates a potential brute force attack, but lacks SQL keywords, thus not meeting the criteria for T1190."
Tue  3 Mar 2026 14:27:37 GMT,185.123.45.67,UA,0,High,T1190,"SQL injection attempt detected from IP 185.123.45.67, indicating a potential web exploit."
Tue  3 Mar 2026 14:27:42 GMT,185.123.45.67,UA,0,Medium,T1110,"Failed password for root from 185.123.45.67 indicates a potential brute force attack, but lacks SQL keywords, making it less likely to be a web exploit."
Thu  5 Mar 2026 13:07:27 GMT,185.123.45.67,XX,0,Critical,T1210,"Multiple failed root logins from 185.123.45.67 indicate lateral movement activity, likely an insider threat."
Thu  5 Mar 2026 13:07:31 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected, IP 185.123.45.67 is a known SSH/SQL activity source."
Thu  5 Mar 2026 13:07:35 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected, IP 185.123.45.67 is a potential threat actor with SSH activity in Region XX."
Thu  5 Mar 2026 13:07:39 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected due to SSH/SQL activity from IP 185.123.45.67, Region XX."
Thu  5 Mar 2026 13:07:43 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected, IP 185.123.45.67 is a potential threat in Region XX with no Abuse Score."
Thu  5 Mar 2026 13:07:46 GMT,1.2.3.4,XX,0,Critical,T1210,"Lateral Movement detected due to SSH/SQL activity from IP 1.2.3.4 in Region XX."
Thu  5 Mar 2026 13:07:49 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Lateral Movement detected, IP 192.168.1.50 showing SSH activity"
Thu  5 Mar 2026 13:13:12 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected from 185.123.45.67, IP starts with '10' indicating internal threat."
Thu  5 Mar 2026 13:13:16 GMT,185.123.45.67,XX,0,Critical,T1110,"SQL injection attempt from 185.123.45.67, indicating a high-risk exploit (T1190)"
Thu  5 Mar 2026 13:13:20 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected from 185.123.45.67, IP starts with '10' indicating internal threat."
Thu  5 Mar 2026 13:13:23 GMT,1.2.3.4,XX,0,Critical,T1210,"Lateral Movement detected from 192.168.x.x IP, indicating potential internal threat."
Thu  5 Mar 2026 13:13:26 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Lateral Movement detected from 192.168.1.50, indicating potential internal threat."
Thu  5 Mar 2026 13:13:30 GMT,185.123.45.67,XX,0,Critical,T1210,"Lateral Movement detected from 185.123.45.67, IP starts with '10' indicating internal threat."
Thu  5 Mar 2026 13:13:33 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Lateral Movement detected from 192.168.1.50, indicating potential internal threat."
Thu  5 Mar 2026 13:19:30 GMT,185.123.45.67,XX,0,Critical,T1110,"External Brute Force Attack detected. IP 185.123.45.67 attempted to access the system with a SQL injection attack."
Thu  5 Mar 2026 13:19:34 GMT,185.123.45.67,XX,0,Critical,T1110,"External Brute Force Attack detected. The IP address 185.123.45.67 is attempting to brute force the root account on the system."
Thu  5 Mar 2026 13:19:40 GMT,1.2.3.4,XX,0,Critical,T1110,"Brute Force Attack detected from external IP 1.2.3.4, indicating a high risk of unauthorized access."
Thu  5 Mar 2026 13:19:44 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Lateral Movement detected within the internal network from IP 192.168.1.50, indicating a potential security breach."
Thu  5 Mar 2026 13:19:48 GMT,185.123.45.67,XX,0,Critical,T1110,"External Brute Force Attack detected. The IP address 185.123.45.67 is attempting to brute force the root account on the system."
Thu  5 Mar 2026 13:19:52 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Lateral Movement detected within the internal network from IP 192.168.1.50, indicating a potential security breach."
Thu  5 Mar 2026 13:19:55 GMT,185.123.45.67,XX,0,Critical,T1110,"External brute force attack detected on the system. The IP address 185.123.45.67 is attempting to login with a failed password attempt."
Thu  5 Mar 2026 13:19:59 GMT,192.168.1.50,INTERNAL,0,Critical,T1210,"Failed password for root from 192.168.1.50 indicates lateral movement within the internal network, posing a significant risk to system integrity."
Thu  5 Mar 2026 13:30:46 GMT,185.123.45.67,UA,0,Critical,T1078,"SQL injection attempt from 185.123.45.67 indicates a potential threat, however the honeypot was not triggered and the IP is external, which aligns with T1110 (Brute Force) risk."
Thu  5 Mar 2026 13:30:49 GMT,185.123.45.67,UA,0,Critical,T1078,"Failed login attempt by external attacker, indicating a potential valid account compromise."
Thu  5 Mar 2026 13:30:52 GMT,1.2.3.4,AU,62,Critical,T1078,"Valid Accounts detected, Honeypot Trigger is false, indicating potential insider threat."
Thu  5 Mar 2026 13:30:55 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot Trigger is false, indicating a potential valid account attempt."
Thu  5 Mar 2026 13:30:57 GMT,185.123.45.67,UA,0,Critical,T1078,"Failed login attempt by external attacker, indicating a potential valid account compromise."
Thu  5 Mar 2026 13:31:00 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot Trigger is false, indicating a potential valid account attempt."
Thu  5 Mar 2026 13:31:05 GMT,185.123.45.67,UA,0,Critical,T1078,"Failed password attempt for root from external IP 185.123.45.67, indicating a potential Valid Accounts (T1078) attack."
Thu  5 Mar 2026 13:31:11 GMT,192.168.1.50,INTL,0,Critical,T1078,"Failed password attempt for root from internal IP 192.168.1.50 indicates a potential T1078 (Valid Accounts) attack."
Thu  5 Mar 2026 13:31:15 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot Trigger indicates a valid account attempt, suggesting a potential insider threat."
Thu  5 Mar 2026 13:43:12 GMT,1.2.3.4,AU,62,Critical,T1078,"Connection request from 1.2.3.4 is a potential indicator of a lateral movement attack, as the HONEYPOT_TRIGGER is false and the ZONE is EXTERNAL."
Thu  5 Mar 2026 13:43:15 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot triggered, indicating a potential attack on the system."
Thu  5 Mar 2026 13:43:19 GMT,185.123.45.67,UA,0,Critical,T1078,"Honeypot triggered, using T1078 due to HONEYPOT_TRIGGER being true."
Thu  5 Mar 2026 13:43:22 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot triggered, indicating a potential attack on the system."
Thu  5 Mar 2026 13:43:25 GMT,185.123.45.67,UA,0,Critical,T1078,"Failed password attempt from external IP address 185.123.45.67, indicating a potential phishing or spear phishing attack."
Thu  5 Mar 2026 13:43:29 GMT,192.168.1.50,INTL,0,Critical,T1078,"Failed password for root from 192.168.1.50, HONEYPOT_TRIGGER is false"
Thu  5 Mar 2026 13:43:32 GMT,192.168.1.50,INTL,0,Critical,T1078,"Honeypot trigger detected, indicating a potential insider threat."
Thu  5 Mar 2026 13:43:35 GMT,185.123.45.67,UA,0,Critical,T1078,"Failed password attempt from external IP address 185.123.45.67, indicating a potential phishing or spear phishing attack."
Thu  5 Mar 2026 13:43:39 GMT,1.2.3.4,AU,62,Critical,T1078,"Failed password attempt from 1.2.3.4, indicating a potential lateral movement attack."
Thu  5 Mar 2026 13:47:37 GMT,185.123.45.67,UA,0,HIGH,T1110,"Here is a summary of the incident in 1 short sentence:

A successful external brute force attack was detected, with an IP address (185.123.45.67) attempting to gain unauthorized access via SSH to the system's root account."
Thu  5 Mar 2026 13:47:39 GMT,192.168.1.50,INTL,0,CRITICAL,T1210,"A lateral movement attempt (T1210) was detected, where an unauthorized user (192.168.1.50) attempted to log in as the root user on a system (INTL)."
Thu  5 Mar 2026 13:47:42 GMT,185.123.45.67,UA,0,HIGH,T1110,"Here is a summary of the incident in one short sentence:

A failed login attempt for the 'root' user originated from IP address 185.123.45.67, indicating potential external brute force activity (T1110)."
Thu  5 Mar 2026 13:47:44 GMT,192.168.1.50,INTL,0,CRITICAL,T1210,"A lateral movement attempt (T1210) was detected, where an unauthorized device (192.168.1.50) attempted to log in as 'root' on the system (INTL)."
Thu  5 Mar 2026 13:47:46 GMT,192.168.1.50,INTL,0,CRITICAL,T1078,"A Honeypot Trigger (T1078) was detected, indicating a potential insider threat or malicious actor attempting to gain unauthorized access via SSH to the finance_admin account on IP address 192.168.1.50."
Thu  5 Mar 2026 13:47:48 GMT,185.123.45.67,UA,0,HIGH,T1110,"Here is a summary of the incident in one short sentence:

An external IP address (185.123.45.67) attempted to brute-force login with an incorrect password, attempting to gain access to the system as 'root'."
Thu  5 Mar 2026 13:47:51 GMT,1.2.3.4,AU,62,CRITICAL,T1078,"A Honeypot Trigger (T1078) has been detected, indicating a potential phishing or credential dumping attempt by an attacker attempting to gain unauthorized access using the 'finance_admin' credentials from IP address 1.2.3.4."
Thu  5 Mar 2026 13:47:54 GMT,1.2.3.4,AU,62,HIGH,T1110,"Here is a summary of the event in one short sentence:

A brute force attack attempt was detected, originating from IP address 1.2.3.4, attempting to gain unauthorized access to the system by guessing the 'root' password."
Thu  5 Mar 2026 13:47:56 GMT,185.123.45.67,UA,0,CRITICAL,T1078,"A Honeypot Trigger (T1078) was detected, indicating a potential insider threat attempt by the IP address 185.123.45.67 to gain unauthorized access to the system using the finance_admin credentials."
Thu  5 Mar 2026 13:47:58 GMT,192.168.1.50,INTL,0,CRITICAL,T1210,"A lateral movement incident (T1210) was detected, where an unauthorized user (192.168.1.50) attempted to log in with a failed password on the 'admin' account within the INTL network."
